Id;Food;Category;Carbohydrates;Sugars;Dietary fiber;Fats;Saturated fat;Protein;Calcium;Cholesterol;Copper;Iodine;Iron;Magnesium;Niacin;Phosphorus;Potassium;Riboflavin (B2);Selenium;Sodium;Thiamin (B1);Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Zinc;Artificially sweetened;Cholesterol-free;Egg-free;Fat-free;Fructose-sweetened;Gluten-free;High-fibre;Lacto-ovo-vegetarian;Lactose-free;Lacto-vegetarian;Milk-free;No added salt;No additives;No colouring agents;No preservatives;Soy-free;Sugar-free;Unsweetened;Vegan
1;SUGAR;Sugar and confectionery;99.9;99.9;0;0;0;0;0.4;0;0.01;5;0.06;0.1;0;0.1;2;0;0.5;0.1;0;0;0;0;0;0;0.01;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1
2;FRUCTOSE;Sugar and confectionery;99.8;99.8;0;0;0;0;0.1;0;0.01;5;0.07;0;0;0.1;0.3;0;0.5;0.1;0;0;0;0;0;0;0.01;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1
3;SYRUP;Sugar and confectionery;74.1;74.1;0;0;0;0.1;74;0;0.24;5;2.5;34;0;2;220;0.01;1;50;0;0;0;0;0;0;0.13;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1
4;HONEY;Sugar and confectionery;80.8;80.8;0;0;0;0.5;5;0;0.03;5;0.5;3;0.2;7;60;0.04;0.5;2.2;0.01;0;0;4;0;0;0.1;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0
5;SWEET, CANDY;Sugar and confectionery;87;53.5;0;0;0;0.5;7;0;0.175;12;1.45;28;0;4;100;0;1;100;0;0;0;0;0;0;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;CHOCOLATE, AVERAGE;Sugar and confectionery;47.774;45.772;2.2;34.362;18.233;9.58;277;6.1;0.32;35;1.5;67;2.571;280;460;0.09;2;120;0.07;81.34;0;0;0;0.417;1.8;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
7;CHOCOLATE CONFECTION FILLED WITH MARMALADE;Sugar and confectionery;53.28;52.455;0;11.372;6.0209;3.27;127;2.01;0.32;25;1.9;50;0.931;140;240;0.26;0.887;117.7;0.05;27.2;0;0;0;0.3;1.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
8;LIQUORICE, LICORICE;Sugar and confectionery;75.886;45.656;1.4;0.4;0;3.5;73;0;0.19;9;1.513;45;0.768;30;150;0;1;165;0;0;0;0;0;0;0.3;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1
9;JELLY CANDY, FRUIT JELLY;Sugar and confectionery;75;60;1.8;0.1;0;0.1;9;0;0.06;4;0.3;2;0.151;7;20;0.01;0.51;72;0;0.82;0;1;0;0.297;0.1;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1
10;MARZIPAN, ALMOND PASTE;Sugar and confectionery;47.6;42.2;1.8;26.9;2.1355;12.61;140;0;0;0;2.5;140;3.584;250;300;0.36;2.322;50;0.11;0.13;0;0;0;13.855;1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
